Channel_Name,Channel_Label,Type,Chart,x (m),y (m),z (m),x2 (m),y2 (m),z2 (m)
Basement A Quadrant Temperature 2.72 m Above Floor,2.72 m Above Floor,Temperature,Basement_A_Quadrant_Temperature,2.29,1.75,2.72,,,
Basement A Quadrant Temperature 2.44 m Above Floor,2.44 m Above Floor,Temperature,Basement_A_Quadrant_Temperature,2.29,1.75,2.44,,,
Basement A Quadrant Temperature 2.13 m Above Floor,2.13 m Above Floor,Temperature,Basement_A_Quadrant_Temperature,2.29,1.75,2.13,,,
Basement A Quadrant Temperature 1.83 m Above Floor,1.83 m Above Floor,Temperature,Basement_A_Quadrant_Temperature,2.29,1.75,1.83,,,
Basement A Quadrant Temperature 1.52 m Above Floor,1.52 m Above Floor,Temperature,Basement_A_Quadrant_Temperature,2.29,1.75,1.52,,,
Basement A Quadrant Temperature 1.22 m Above Floor,1.22 m Above Floor,Temperature,Basement_A_Quadrant_Temperature,2.29,1.75,1.22,,,
Basement A Quadrant Temperature 0.91 m Above Floor,0.91 m Above Floor,Temperature,Basement_A_Quadrant_Temperature,2.29,1.75,0.91,,,
Basement A Quadrant Temperature 0.61 m Above Floor,0.61 m Above Floor,Temperature,Basement_A_Quadrant_Temperature,2.29,1.75,0.61,,,
Basement A Quadrant Temperature 0.3 m Above Floor,0.3 m Above Floor,Temperature,Basement_A_Quadrant_Temperature,2.29,1.75,0.3,,,
Basement B Quadrant Temperature 2.72 m Above Floor,2.72 m Above Floor,Temperature,Basement_B_Quadrant_Temperature,2.29,5.31,2.72,,,
Basement B Quadrant Temperature 2.44 m Above Floor,2.44 m Above Floor,Temperature,Basement_B_Quadrant_Temperature,2.29,5.31,2.44,,,
Basement B Quadrant Temperature 2.13 m Above Floor,2.13 m Above Floor,Temperature,Basement_B_Quadrant_Temperature,2.29,5.31,2.13,,,
Basement B Quadrant Temperature 1.83 m Above Floor,1.83 m Above Floor,Temperature,Basement_B_Quadrant_Temperature,2.29,5.31,1.83,,,
Basement B Quadrant Temperature 1.52 m Above Floor,1.52 m Above Floor,Temperature,Basement_B_Quadrant_Temperature,2.29,5.31,1.52,,,
Basement B Quadrant Temperature 1.22 m Above Floor,1.22 m Above Floor,Temperature,Basement_B_Quadrant_Temperature,2.29,5.31,1.22,,,
Basement B Quadrant Temperature 0.91 m Above Floor,0.91 m Above Floor,Temperature,Basement_B_Quadrant_Temperature,2.29,5.31,0.91,,,
Basement B Quadrant Temperature 0.61 m Above Floor,0.61 m Above Floor,Temperature,Basement_B_Quadrant_Temperature,2.29,5.31,0.61,,,
Basement B Quadrant Temperature 0.3 m Above Floor,0.3 m Above Floor,Temperature,Basement_B_Quadrant_Temperature,2.29,5.31,0.3,,,
Basement C Quadrant Temperature 2.72 m Above Floor,2.72 m Above Floor,Temperature,Basement_C_Quadrant_Temperature,10.86,5.05,2.72,,,
Basement C Quadrant Temperature 2.44 m Above Floor,2.44 m Above Floor,Temperature,Basement_C_Quadrant_Temperature,10.86,5.05,2.44,,,
Basement C Quadrant Temperature 2.13 m Above Floor,2.13 m Above Floor,Temperature,Basement_C_Quadrant_Temperature,10.86,5.05,2.13,,,
Basement C Quadrant Temperature 1.83 m Above Floor,1.83 m Above Floor,Temperature,Basement_C_Quadrant_Temperature,10.86,5.05,1.83,,,
Basement C Quadrant Temperature 1.52 m Above Floor,1.52 m Above Floor,Temperature,Basement_C_Quadrant_Temperature,10.86,5.05,1.52,,,
Basement C Quadrant Temperature 1.22 m Above Floor,1.22 m Above Floor,Temperature,Basement_C_Quadrant_Temperature,10.86,5.05,1.22,,,
Basement C Quadrant Temperature 0.91 m Above Floor,0.91 m Above Floor,Temperature,Basement_C_Quadrant_Temperature,10.86,5.05,0.91,,,
Basement C Quadrant Temperature 0.61 m Above Floor,0.61 m Above Floor,Temperature,Basement_C_Quadrant_Temperature,10.86,5.05,0.61,,,
Basement C Quadrant Temperature 0.3 m Above Floor,0.3 m Above Floor,Temperature,Basement_C_Quadrant_Temperature,10.86,5.05,0.3,,,
Living Room Temperature 2.41 m Above Floor,2.41 m Above Floor,Temperature,Living_Room_Temperature,6.65,3.08,2.41,,,
Living Room Temperature 2.13 m Above Floor,2.13 m Above Floor,Temperature,Living_Room_Temperature,6.65,3.08,2.13,,,
Living Room Temperature 1.83 m Above Floor,1.83 m Above Floor,Temperature,Living_Room_Temperature,6.65,3.08,1.83,,,
Living Room Temperature 1.52 m Above Floor,1.52 m Above Floor,Temperature,Living_Room_Temperature,6.65,3.08,1.52,,,
Living Room Temperature 1.22 m Above Floor,1.22 m Above Floor,Temperature,Living_Room_Temperature,6.65,3.08,1.22,,,
Living Room Temperature 0.91 m Above Floor,0.91 m Above Floor,Temperature,Living_Room_Temperature,6.65,3.08,0.91,,,
Living Room Temperature 0.61 m Above Floor,0.61 m Above Floor,Temperature,Living_Room_Temperature,6.65,3.08,0.61,,,
