Channel_Name,Channel_Label,Type,Chart,x (m),y (m),z (m),x2 (m),y2 (m),z2 (m)
Living Room Temperature 0.3 m Above Floor,0.3 m Above Floor,Temperature,Living_Room_Temperature,6.65,3.08,0.3,,,
Dining Room Temperature 2.41 m Above Floor,2.41 m Above Floor,Temperature,Dining_Room_Temperature,1.27,2.23,2.41,,,
Dining Room Temperature 2.13 m Above Floor,2.13 m Above Floor,Temperature,Dining_Room_Temperature,1.27,2.23,2.13,,,
Dining Room Temperature 1.83 m Above Floor,1.83 m Above Floor,Temperature,Dining_Room_Temperature,1.27,2.23,1.83,,,
Dining Room Temperature 1.52 m Above Floor,1.52 m Above Floor,Temperature,Dining_Room_Temperature,1.27,2.23,1.52,,,
Dining Room Temperature 1.22 m Above Floor,1.22 m Above Floor,Temperature,Dining_Room_Temperature,1.27,2.23,1.22,,,
Dining Room Temperature 0.91 m Above Floor,0.91 m Above Floor,Temperature,Dining_Room_Temperature,1.27,2.23,0.91,,,
Dining Room Temperature 0.61 m Above Floor,0.61 m Above Floor,Temperature,Dining_Room_Temperature,1.27,2.23,0.61,,,
Dining Room Temperature 0.3 m Above Floor,0.3 m Above Floor,Temperature,Dining_Room_Temperature,1.27,2.23,0.3,,,
Basement D Quadrant Temperature 2.72 m Above Floor,2.72 m Above Floor,Temperature,Basement_D_Quadrant_Temperature,10.86,1.3,2.72,,,
Basement D Quadrant Temperature 2.44 m Above Floor,2.44 m Above Floor,Temperature,Basement_D_Quadrant_Temperature,10.86,1.3,2.44,,,
Basement D Quadrant Temperature 2.13 m Above Floor,2.13 m Above Floor,Temperature,Basement_D_Quadrant_Temperature,10.86,1.3,2.13,,,
Basement D Quadrant Temperature 1.83 m Above Floor,1.83 m Above Floor,Temperature,Basement_D_Quadrant_Temperature,10.86,1.3,1.83,,,
Basement D Quadrant Temperature 1.52 m Above Floor,1.52 m Above Floor,Temperature,Basement_D_Quadrant_Temperature,10.86,1.3,1.52,,,
Basement D Quadrant Temperature 1.22 m Above Floor,1.22 m Above Floor,Temperature,Basement_D_Quadrant_Temperature,10.86,1.3,1.22,,,
Basement D Quadrant Temperature 0.91 m Above Floor,0.91 m Above Floor,Temperature,Basement_D_Quadrant_Temperature,10.86,1.3,0.91,,,
Basement D Quadrant Temperature 0.61 m Above Floor,0.61 m Above Floor,Temperature,Basement_D_Quadrant_Temperature,10.86,1.3,0.61,,,
Basement D Quadrant Temperature 0.3 m Above Floor,0.3 m Above Floor,Temperature,Basement_D_Quadrant_Temperature,10.86,1.3,0.3,,,
Kitchen Temperature 2.41 m Above Floor,2.41 m Above Floor,Temperature,Kitchen_Temperature,2.08,6,2.41,,,
Kitchen Temperature 2.13 m Above Floor,2.13 m Above Floor,Temperature,Kitchen_Temperature,2.08,6,2.13,,,
Kitchen Temperature 1.83 m Above Floor,1.83 m Above Floor,Temperature,Kitchen_Temperature,2.08,6,1.83,,,
Kitchen Temperature 1.52 m Above Floor,1.52 m Above Floor,Temperature,Kitchen_Temperature,2.08,6,1.52,,,
Kitchen Temperature 1.22 m Above Floor,1.22 m Above Floor,Temperature,Kitchen_Temperature,2.08,6,1.22,,,
Kitchen Temperature 0.91 m Above Floor,0.91 m Above Floor,Temperature,Kitchen_Temperature,2.08,6,0.91,,,
Kitchen Temperature 0.61 m Above Floor,0.61 m Above Floor,Temperature,Kitchen_Temperature,2.08,6,0.61,,,
Kitchen Temperature 0.3 m Above Floor,0.3 m Above Floor,Temperature,Kitchen_Temperature,2.08,6,0.3,,,
Bedroom 3 Temperature 2.41 m Above Floor,2.41 m Above Floor,Temperature,Bedroom_3_Temperature,8.08,6.33,2.41,,,
Bedroom 3 Temperature 2.13 m Above Floor,2.13 m Above Floor,Temperature,Bedroom_3_Temperature,8.08,6.33,2.13,,,
Bedroom 3 Temperature 1.83 m Above Floor,1.83 m Above Floor,Temperature,Bedroom_3_Temperature,8.08,6.33,1.83,,,
Bedroom 3 Temperature 1.52 m Above Floor,1.52 m Above Floor,Temperature,Bedroom_3_Temperature,8.08,6.33,1.52,,,
Bedroom 3 Temperature 1.22 m Above Floor,1.22 m Above Floor,Temperature,Bedroom_3_Temperature,8.08,6.33,1.22,,,
Bedroom 3 Temperature 0.91 m Above Floor,0.91 m Above Floor,Temperature,Bedroom_3_Temperature,8.08,6.33,0.91,,,
Bedroom 3 Temperature 0.61 m Above Floor,0.61 m Above Floor,Temperature,Bedroom_3_Temperature,8.08,6.33,0.61,,,
Bedroom 3 Temperature 0.3 m Above Floor,0.3 m Above Floor,Temperature,Bedroom_3_Temperature,8.08,6.33,0.3,,,
Bedroom 2 Temperature 2.41 m Above Floor,2.41 m Above Floor,Temperature,Bedroom_2_Temperature,12.43,5.83,2.41,,,
Bedroom 2 Temperature 2.13 m Above Floor,2.13 m Above Floor,Temperature,Bedroom_2_Temperature,12.43,5.83,2.13,,,
Bedroom 2 Temperature 1.83 m Above Floor,1.83 m Above Floor,Temperature,Bedroom_2_Temperature,12.43,5.83,1.83,,,
Bedroom 2 Temperature 1.52 m Above Floor,1.52 m Above Floor,Temperature,Bedroom_2_Temperature,12.43,5.83,1.52,,,
Bedroom 2 Temperature 1.22 m Above Floor,1.22 m Above Floor,Temperature,Bedroom_2_Temperature,12.43,5.83,1.22,,,
Bedroom 2 Temperature 0.91 m Above Floor,0.91 m Above Floor,Temperature,Bedroom_2_Temperature,12.43,5.83,0.91,,,
Bedroom 2 Temperature 0.61 m Above Floor,0.61 m Above Floor,Temperature,Bedroom_2_Temperature,12.43,5.83,0.61,,,
Bedroom 2 Temperature 0.3 m Above Floor,0.3 m Above Floor,Temperature,Bedroom_2_Temperature,12.43,5.83,0.3,,,
Bedroom 1 Temperature 2.41 m Above Floor,2.41 m Above Floor,Temperature,Bedroom_1_Temperature,12,3.08,2.41,,,
Bedroom 1 Temperature 2.13 m Above Floor,2.13 m Above Floor,Temperature,Bedroom_1_Temperature,12,3.08,2.13,,,
Bedroom 1 Temperature 1.83 m Above Floor,1.83 m Above Floor,Temperature,Bedroom_1_Temperature,12,3.08,1.83,,,
Bedroom 1 Temperature 1.52 m Above Floor,1.52 m Above Floor,Temperature,Bedroom_1_Temperature,12,3.08,1.52,,,
Bedroom 1 Temperature 1.22 m Above Floor,1.22 m Above Floor,Temperature,Bedroom_1_Temperature,12,3.08,1.22,,,
Bedroom 1 Temperature 0.91 m Above Floor,0.91 m Above Floor,Temperature,Bedroom_1_Temperature,12,3.08,0.91,,,
Bedroom 1 Temperature 0.61 m Above Floor,0.61 m Above Floor,Temperature,Bedroom_1_Temperature,12,3.08,0.61,,,
Bedroom 1 Temperature 0.3 m Above Floor,0.3 m Above Floor,Temperature,Bedroom_1_Temperature,12,3.08,0.3,,,
Basement Stairwell Temperature 2.49 m Above Floor,2.49 m Above Floor,Temperature,Basement_Stairwell_Temperature,5.54,2.96,2.49,,,
Basement Stairwell Temperature 2.18 m Above Floor,2.18 m Above Floor,Temperature,Basement_Stairwell_Temperature,5.54,2.96,2.18,,,
Basement Stairwell Temperature 1.88 m Above Floor,1.88 m Above Floor,Temperature,Basement_Stairwell_Temperature,5.54,2.96,1.88,,,
Basement Stairwell Temperature 1.55 m Above Floor,1.55 m Above Floor,Temperature,Basement_Stairwell_Temperature,5.54,2.96,1.55,,,
Basement Stairwell Temperature 1.27 m Above Floor,1.27 m Above Floor,Temperature,Basement_Stairwell_Temperature,5.54,2.96,1.27,,,
Basement Stairwell Temperature 0.99 m Above Floor,0.99 m Above Floor,Temperature,Basement_Stairwell_Temperature,5.54,2.96,0.99,,,
Top Stairwell Temperature 1.93 m Ablove Floor,1.93 m Ablove Floor,Temperature,Top_Stairwell_Temperature,6,3,1.93,,,
Top Stairwell Temperature 1.47 m Above Floor,1.47 m Above Floor,Temperature,Top_Stairwell_Temperature,6,3,1.47,,,
Top Stairwell Temperature 1.02 m Above Floor,1.02 m Above Floor,Temperature,Top_Stairwell_Temperature,6,3,1.02,,,
Top Stairwell Temperature 0.56 m Above Floor,0.56 m Above Floor,Temperature,Top_Stairwell_Temperature,6,3,0.56,,,
Top Stairwell Temperature 0.1 m Above Floor,0.1 m Above Floor,Temperature,Top_Stairwell_Temperature,6,3,0.1,,,
Front Door Temperature 1.93 m Ablove Floor,1.93 m Ablove Floor,Temperature,Front_Door_Temperature,4.3,0,1.93,,,
Front Door Temperature 1.47 m Above Floor,1.47 m Above Floor,Temperature,Front_Door_Temperature,4.3,0,1.47,,,
Front Door Temperature 1.02 m Above Floor,1.02 m Above Floor,Temperature,Front_Door_Temperature,4.3,0,1.02,,,
Front Door Temperature 0.56 m Above Floor,0.56 m Above Floor,Temperature,Front_Door_Temperature,4.3,0,0.56,,,
Front Door Temperature 0.1 m Above Floor,0.1 m Above Floor,Temperature,Front_Door_Temperature,4.3,0,0.1,,,
Supply Duct Temperature Duct Temperature,Duct Temperature,Temperature,Supply_Duct_Temperature,,,,,,
Register Temperature Living Room Double Return,Living Room Double_Return,Temperature,FF_Supply_Register_Temperature,3,3.99,0.3,,,
Register Temperature Front Door Living Room Supply,Front Door Living Room Supply,Temperature,FF_Supply_Register_Temperature,4,0.5,2.44,,,
Register Temperature Dining Room Supply,Dining Room Supply,Temperature,FF_Supply_Register_Temperature,1.4,0.5,2.44,,,
Register Temperature Dining Room Return,Dining Room Return,Temperature,FF_Supply_Register_Temperature,1,3.99,0.3,,,
Register Temperature Kitchen Supply,Kitchen Supply,Temperature,FF_Supply_Register_Temperature,4.4,7.5,2.44,,,
Register Temperature Kitchen Breakfast Supply,Kitchen Breakfast Supply,Temperature,FF_Supply_Register_Temperature,1.4,7.5,2.44,,,
Register Temperature BR1 Supply,BR1 Supply,Temperature,BR_Supply_Register_Temperature,11.8,0.5,2.44,,,
Register Temperature BR1 Return,BR1 Return,Temperature,BR_Supply_Register_Temperature,12.4,3.6,0.3,,,
Register Temperature BR2 Supply,BR2 Supply,Temperature,BR_Supply_Register_Temperature,12.2,7.5,2.44,,,
Register Temperature BR2 Return,BR2 Return,Temperature,BR_Supply_Register_Temperature,12.8,3.81,0.3,,,
Register Temperature BR3 Supply,BR3 Supply,Temperature,BR_Supply_Register_Temperature,8,7.5,2.44,,,
Register Temperature BR3 Return,BR3 Return,Temperature,BR_Supply_Register_Temperature,8.2,5.01,0.3,,,
Register Temperature Living Room Delta Supply,Living Room Delta Supply,Temperature,FF_Supply_Register_Temperature,8.6,0.5,2.44,,,
Register Temperature Living Room Delta Return,Living Room Delta Return,Temperature,FF_Supply_Register_Temperature,7.4,3.6,0.3,,,
Register Temperature B A/B Supply Basement,B A/B Supply Basement,Temperature,Basement_Supply_Register_Temperature,0.3,1.1,2.79,,,
Register Temperature B B/C Supply Basement,B B/C Supply Basement,Temperature,Basement_Supply_Register_Temperature,1.1,5.7,2.79,,,
Register Temperature B C/D Supply Basement,B C/D Supply Basement,Temperature,Basement_Supply_Register_Temperature,3.5,5.7,2.79,,,
Register Temperature B A/D Supply Basement,B A/D Supply Basement,Temperature,Basement_Supply_Register_Temperature,3.9,1.1,2.79,,,
Register Temperature D A/B Supply Basement,D A/B Supply Basement,Temperature,Basement_Supply_Register_Temperature,7.5,1.1,2.79,,,
Register Temperature D B/C Supply Basement,D B/C Supply Basement,Temperature,Basement_Supply_Register_Temperature,8.7,6.3,2.79,,,
Register Temperature D C/D Supply Basement,D C/D Supply Basement,Temperature,Basement_Supply_Register_Temperature,11.1,6.3,2.79,,,
Register Temperature D A/D Supply Basement,D A/D Supply Basement,Temperature,Basement_Supply_Register_Temperature,11.5,1.1,2.79,,,
Register Temperature Basement Return,Basement Return,Temperature,Basement_Supply_Register_Temperature,7.6,2.2,1.7,,,
Attic Temperature 1.83 m Above Floor,1.83 m Above Floor,Temperature,Attic_Temperature,,,1.83,,,
Attic Temperature 1.52 m Above Floor,1.52 m Above Floor,Temperature,Attic_Temperature,,,1.52,,,
Attic Temperature 1.22 m Above Floor,1.22 m Above Floor,Temperature,Attic_Temperature,,,1.22,,,
Attic Temperature 0.91 m Above Floor,0.91 m Above Floor,Temperature,Attic_Temperature,,,0.91,,,
Attic Temperature 0.61 m Above Floor,0.61 m Above Floor,Temperature,Attic_Temperature,,,0.61,,,
Attic Temperature 0.3 m Above Floor,0.3 m Above Floor,Temperature,Attic_Temperature,,,0.3,,,
Attic Temperature Insulation,Insulation,Temperature,Attic_Temperature,,,,,,
Attic Temperature Closet,Closet,Temperature,Attic_Temperature,,,,,,
HVAC Room Temperature 2.72 m Above Floor,2.72 m Above Floor,Temperature,HVAC_Room_Temperature,7.54,3.24,2.72,,,
HVAC Room Temperature 2.44 m Above Floor,2.44 m Above Floor,Temperature,HVAC_Room_Temperature,7.54,3.24,2.44,,,
HVAC Room Temperature 2.13 m Above Floor,2.13 m Above Floor,Temperature,HVAC_Room_Temperature,7.54,3.24,2.13,,,
HVAC Room Temperature 1.83 m Above Floor,1.83 m Above Floor,Temperature,HVAC_Room_Temperature,7.54,3.24,1.83,,,
HVAC Room Temperature 1.52 m Above Floor,1.52 m Above Floor,Temperature,HVAC_Room_Temperature,7.54,3.24,1.52,,,
HVAC Room Temperature 1.22 m Above Floor,1.22 m Above Floor,Temperature,HVAC_Room_Temperature,7.54,3.24,1.22,,,
HVAC Room Temperature 0.91 m Above Floor,0.91 m Above Floor,Temperature,HVAC_Room_Temperature,7.54,3.24,0.91,,,
HVAC Room Temperature 0.61 m Above Floor,0.61 m Above Floor,Temperature,HVAC_Room_Temperature,7.54,3.24,0.61,,,
HVAC Room Temperature 0.3 m Above Floor,0.3 m Above Floor,Temperature,HVAC_Room_Temperature,7.54,3.24,0.3,,,
Thermostat Temperature,Thermostat Temperature,Temperature,Thermostat_Temperature,,,,,,
Basement Pressure A/B Pressure 2.13 m Above Floor,A/B Pressure 2.13 m Above Floor,Pressure,Basement_Pressure,4.85,5.87,2.13,,,
Basement Pressure A/B Pressure 1.22 m Above Floor,A/B Pressure 1.22 m Above Floor,Pressure,Basement_Pressure,4.85,5.87,1.22,,,
Basement Pressure A/B Pressure 0.3 m Above Floor,A/B Pressure 0.3 m Above Floor,Pressure,Basement_Pressure,4.85,5.87,0.3,,,
Basement Pressure C/D Pressure 2.13 m Above Floor,C/D Pressure 2.13 m Above Floor,Pressure,Basement_Pressure,8.75,4.89,2.13,,,
Basement Pressure C/D Pressure 1.22 m Above Floor,C/D Pressure 1.22 m Above Floor,Pressure,Basement_Pressure,8.75,4.89,1.22,,,
Basement Pressure C/D Pressure 0.3 m Above Floor,C/D Pressure 0.3 m Above Floor,Pressure,Basement_Pressure,8.75,4.89,0.3,,,
Bedroom 3 Pressure 2.13 m Above Floor,BR 3 Pressure 2.13 m Above Floor,Pressure,BR3_Pressure,9.25,6.91,2.13,,,
Bedroom 3 Pressure 1.2 m Above Floor,BR 3 Pressure 1.2 m Above Floor,Pressure,BR3_Pressure,9.25,6.91,1.22,,,
Bedroom 3 Pressure 0.3 m Above Floor,BR 3 Pressure 0.3 m Above Floor,Pressure,BR3_Pressure,9.25,6.91,0.3,,,
Bedroom 2 Pressure 2.13 m Above Floor,BR 2 Pressure 2.13 m Above Floor,Pressure,BR2_Pressure,11.35,6.91,2.13,,,
Bedroom 2 Pressure 1.2 m Above Floor,BR 2 Pressure 1.2 m Above Floor,Pressure,BR2_Pressure,11.35,6.91,1.22,,,
Bedroom 2 Pressure 0.3 m Above Floor,BR 2 Pressure 0.3 m Above Floor,Pressure,BR2_Pressure,11.35,6.91,0.3,,,
Bedroom 1 Pressure 2.13 m Above Floor,BR 1 Pressure 2.13 m Above Floor,Pressure,BR1_Pressure,10.35,1.42,2.13,,,
Bedroom 1 Pressure 1.2 m Above Floor,BR 1 Pressure 1.2 m Above Floor,Pressure,BR1_Pressure,10.35,1.42,1.22,,,
Bedroom 1 Pressure 0.3 m Above Floor,BR 1 Pressure 0.3 m Above Floor,Pressure,BR1_Pressure,10.35,1.42,0.3,,,
Living Room Pressure 2.13 Above Floor,Living Room Pressure 2.13 Above Floor,Pressure,LivingRoom_Pressure,3.95,2.18,2.13,,,
Living Room Pressure 1.2 Above Floor,Living Room Pressure 1.2 Above Floor,Pressure,LivingRoom_Pressure,3.95,2.18,1.22,,,
Living Room Pressure 0.3 Above Floor,Living Room Pressure 0.3 Above Floor,Pressure,LivingRoom_Pressure,3.95,2.18,0.3,,,
Dining Room Pressure 2.13 m Above Floor,Dining Room Pressure 2.13 m Above Floor,Pressure,DiningRoom_Pressure,2.25,2.16,2.13,,,
Dining Room Pressure 1.2 m Above Floor,Dining Room Pressure 1.2 m Above Floor,Pressure,DiningRoom_Pressure,2.25,2.16,1.22,,,
Dining Room Pressure 0.3 m Above Floor,Dining Room Pressure 0.3 m Above Floor,Pressure,DiningRoom_Pressure,2.25,2.16,0.3,,,
Kitchen Pressure 2.13 m Above Floor,Kitchen Pressure 2.13 m Above Floor,Pressure,Kitchen_Pressure,0.35,7.52,2.13,,,
Kitchen Pressure 1.2 m Above Floor,Kitchen Pressure 1.2 m Above Floor,Pressure,Kitchen_Pressure,0.35,7.52,1.22,,,
Kitchen Pressure 0.3 m Above Floor,Kitchen Pressure 0.3 m Above Floor,Pressure,Kitchen_Pressure,0.35,7.52,0.3,,,
Basement Stairwell Velocity 2.49 m Above Floor,2.49 m Above Floor,Velocity,Basement_Stairwell_Velocity,5.54,2.96,2.49,,,
Basement Stairwell Velocity 2.18 m Above Floor,2.18 m Above Floor,Velocity,Basement_Stairwell_Velocity,5.54,2.96,2.18,,,
Basement Stairwell Velocity 1.88 m Above Floor,1.88 m Above Floor,Velocity,Basement_Stairwell_Velocity,5.54,2.96,1.88,,,
Basement Stairwell Velocity 1.55 m Above Floor,1.55 m Above Floor,Velocity,Basement_Stairwell_Velocity,5.54,2.96,1.55,,,
Basement Stairwell Velocity 1.27 m Above Floor,1.27 m Above Floor,Velocity,Basement_Stairwell_Velocity,5.54,2.96,1.27,,,
Basement Stairwell Velocity 0.99 m Above Floor,0.99 m Above Floor,Velocity,Basement_Stairwell_Velocity,5.54,2.96,0.99,,,
Top Stairwell Velocity 1.93 m Ablove Floor,1.93 m Ablove Floor,Velocity,Top_Stairwell_Velocity,6,3,1.93,,,
Top Stairwell Velocity 1.47 m Above Floor,1.47 m Above Floor,Velocity,Top_Stairwell_Velocity,6,3,1.47,,,
Top Stairwell Velocity 1.02 m Above Floor,1.02 m Above Floor,Velocity,Top_Stairwell_Velocity,6,3,1.02,,,
Top Stairwell Velocity 0.56 m Above Floor,0.56 m Above Floor,Velocity,Top_Stairwell_Velocity,6,3,0.56,,,
Top Stairwell Velocity 0.1 m Above Floor,0.1 m Above Floor,Velocity,Top_Stairwell_Velocity,6,3,0.1,,,
Front Door Velocity 1.93 m Above Floor,1.93 m Above Floor,Velocity,Front_Door_Velocity,4.3,0,1.93,,,
Front Door Velocity 1.47 m Above Floor,1.47 m Above Floor,Velocity,Front_Door_Velocity,4.3,0,1.47,,,
Front Door Velocity 1.02 m Above Floor,1.02 m Above Floor,Velocity,Front_Door_Velocity,4.3,0,1.02,,,
Front Door Velocity 0.56 m Above Floor,0.56 m Above Floor,Velocity,Front_Door_Velocity,4.3,0,0.56,,,
Front Door Velocity 0.1 m Above Floor,0.1 m Above Floor,Velocity,Front_Door_Velocity,4.3,0,0.1,,,
Basement Oxygen 1.22 m Above Floor,Oxygen 1.22 m Above Floor,Volume_Percent,Basement_Gas,2.29,5.31,1.22,10.86,5.05,1.22
Basement Carbon Dioxide 1.22 m Above Floor,Carbon Dioxide 1.22 m Above Floor,Volume_Percent,Basement_Gas,2.29,5.31,1.22,10.86,5.05,1.22
Bedroom 3 Oxygen 1.22 m Above Floor,Oxygen 1.22 m Above Floor,Volume_Percent,Bedroom_3_Gas,8.08,6.33,1.22,,,
Bedroom 3 Carbon Dioxide 1.22 m Above Floor,Carbon Dioxide 1.22 m Above Floor,Volume_Percent,Bedroom_3_Gas,8.08,6.33,1.22,,,
Bedroom 2 Oxygen 1.22 m Above Floor,Oxygen 1.22 m Above Floor,Volume_Percent,Bedroom_2_Gas,12.43,5.83,1.22,,,
Bedroom 2 Carbon Dioxide 1.22 m Above Floor,Carbon Dioxide 1.22 m Above Floor,Volume_Percent,Bedroom_2_Gas,12.43,5.83,1.22,,,
Bedroom 1 Oxygen 1.22 m Above Floor,Oxygen 1.22 m Above Floor,Volume_Percent,Bedroom_1_Gas,12,3.08,1.22,,,
Bedroom 1 Carbon Dioxide 1.22 m Above Floor,Carbon Dioxide 1.22 m Above Floor,Volume_Percent,Bedroom_1_Gas,12,3.08,1.22,,,
HRR,HRR,HRR,HRR,,,,,,
Fan Status,Fan Status,Pressure,Fan_Status,,,,,,
Basement Water Vapor,Water Vapor 1.22 m Above Floor,Vapor_Volume_Perfect,Basement_Gas,2.29,5.31,1.22,10.86,5.05,1.22
Bedroom 2 Water Vapor,Water Vapor 1.22 m Above Floor,Vapor_Volume_Perfect,Bedroom_2_Gas,12.43,5.83,1.22,,,
Bedroom 3 Water Vapor,Water Vapor 1.22 m Above Floor,Vapor_Volume_Perfect,Bedroom_3_Gas,8.08,6.33,1.22,,,
